ChIP	Col0	WT	H3K27ac	Rep1	SRR27821885	SRA	PE	ColCEN
ChIP	Col0	WT	H3K4me1	Rep1	SRR27821852	SRA	PE	ColCEN
ChIP	Col0	WT	Input	Rep1	SRR27821932	SRA	PE	ColCEN
mC	Col0	suvh1	WGBS	Rep1	SRR27821959	SRA	SE	ColCEN
mC	Col0	WT	WGBS	Rep1	SRR27821907	SRA	SE	ColCEN
mC	Col0	WT	WGBS	Rep2	SRR27821907	SRA	SE	ColCEN
RNAseq	Col0	suvh13	RNAseq	Rep1	SRR27821840	SRA	PE	ColCEN
RNAseq	Col0	suvh13	RNAseq	Rep2	SRR27821839	SRA	PE	ColCEN
RNAseq	Col0	suvh13	RNAseq	Rep3	SRR27821838	SRA	PE	ColCEN
RNAseq	Col0	WT	RNAseq	Rep1	SRR27821967	SRA	PE	ColCEN
RNAseq	Col0	WT	RNAseq	Rep2	SRR27821966	SRA	PE	ColCEN
RNAseq	Col0	WT	RNAseq	Rep3	SRR27821918	SRA	PE	ColCEN
sRNA	Col0	VLP_ddm1	shRNA	Rep1	SRR8792540	SRA	SE	ColCEN
sRNA	Col0	VLP_ddm1	shRNA	Rep2	SRR8792538	SRA	SE	ColCEN
sRNA	Col0	VLP_WT_inflo	shRNA	Rep1	SRR8792539	SRA	SE	ColCEN
TF_SUVH1	Col0	suvh1.1	Input	Rep1	SRR27821931	SRA	SE	ColCEN
TF_SUVH1	Col0	suvh1.1	Input	Rep2	SRR27821934	SRA	SE	ColCEN
TF_SUVH1	Col0	suvh1.1	IP	Rep1	SRR27821933	SRA	SE	ColCEN
TF_SUVH1	Col0	suvh1.1	IP	Rep2	SRR27821935	SRA	SE	ColCEN
TF_SUVH3	Col0	suvh3	Input	RepA	SRR27821929	SRA	SE	ColCEN
TF_SUVH3	Col0	suvh3	IP	RepA	SRR27821930	SRA	SE	ColCEN
